"","Date","AppleClose","AppleDailyReturnsPS","AppleDailyTotalReturns","BMRCClose","BMRCDailyReturnsPS","BMRCDailyTotalReturns","MicrosoftClose","MicrosoftDailyReturnsPS","MicrosoftDailyTotalReturns","OracleClose","OracleDailyReturnsPS","OracleDailyTotalReturns","IBMClose","IBMDailyReturnsPS","IBMDailyTotalReturns","TotalDailyReturns","TotalReturns"
"1","2018-10-01",56.814999,0,0,41.380001,0,0,115.610001,0,0,51.799999,0,0,146.271515,0,0,0,0
"2","2018-10-02",57.32,0.505001,16.160032,41.105,-0.275001000000003,-27.5001000000003,115.150002,-0.459998999999996,-160.999649999999,50.23,1.57,329.7,146.988525,-0.717010000000016,-107.551500000002,49.8087819999985,49.8087819999985
"3","2018-10-03",58.017502,0.697502,22.320064,41.700001,0.595001000000003,59.5001000000003,115.169998,0.0199960000000061,6.99860000000214,49.75,0.48,100.8,146.481842,0.50668300000001,76.0024500000014,265.621214000004,315.429996000002
"4","2018-10-04",56.997501,-1.020001,-32.640032,42.200001,0.5,50,112.790001,-2.379997,-832.998950000001,49.470001,0.28,58.8,144.655838,1.82600400000001,273.900600000002,-482.938381999999,-167.508385999997
"5","2018-10-05",56.072498,-0.925002999999997,-29.6000959999999,42.075001,-0.125,-12.5,112.129997,-0.660004000000001,-231.0014,49.349998,0.12,25.2,142.476105,2.179733,326.95995,79.0584539999997,-88.4499319999972
"6","2018-10-08",55.942501,-0.129997000000003,-4.1599040000001,41.895,-0.180000999999997,-18.0000999999997,110.849998,-1.279999,-447.999650000001,49.360001,-0.01,-2.1,141.864243,0.611862000000002,91.7793000000003,-380.480354000001,-468.930285999998
"7","2018-10-09",56.717499,0.774997999999997,24.7999359999999,42.169998,0.274997999999997,27.4997999999997,112.260002,1.410004,493.5014,48.869999,0.49,102.9,140.764816,1.09942699999999,164.914049999999,813.615185999999,344.684900000001
"8","2018-10-10",54.09,-2.62749899999999,-84.0799679999998,41.154999,-1.014999,-101.4999,106.160004,-6.099998,-2134.9993,47.400002,1.47,308.7,136.414917,4.34989899999999,652.484849999999,-1359.394318,-1014.709418
"9","2018-10-11",53.612499,-0.477501000000004,-15.2800320000001,39.290001,-1.864998,-186.4998,105.910004,-0.25,-87.5,46.779999,0.62,130.2,132.906311,3.50860600000001,526.290900000002,367.211068000002,-647.498349999998
"10","2018-10-12",55.5275,1.915001,61.2800320000001,39.459999,0.169998000000007,16.9998000000007,109.57,3.65999599999999,1280.9986,47.380001,-0.6,-126,134.655838,-1.749527,-262.42905,970.849381999998,323.351032
"11","2018-10-15",54.34,-1.1875,-38,40.044998,0.584998999999996,58.4998999999996,107.599998,-1.97000199999999,-689.500699999998,47.119999,0.26,54.6,134.923523,-0.267685,-40.15275,-654.553549999998,-331.202517999998
"12","2018-10-16",55.537498,1.197498,38.3199359999999,39.825001,-0.219996999999999,-21.9996999999999,111,3.400002,1190.0007,48.23,-1.11,-233.1,138.738052,-3.81452900000002,-572.179350000003,401.041585999997,69.8390679999984
"13","2018-10-17",55.297501,-0.239997000000002,-7.67990400000008,40.125,0.299999,29.9999,110.709999,-0.290001000000004,-101.500350000001,47.860001,0.37,77.7,128.154877,10.583175,1587.47625,1585.995896,1655.834964
"14","2018-10-18",54.005001,-1.2925,-41.3599999999999,39.66,-0.465000000000003,-46.5000000000003,108.5,-2.209999,-773.499649999999,47.380001,0.48,100.8,124.808792,3.346085,501.91275,-258.646899999999,1397.188064
"15","2018-10-19",54.827499,0.822498000000003,26.3199360000001,39.540001,-0.119999,-11.9999,108.660004,0.160004000000001,56.0014000000002,47.59,-0.21,-44.1,123.422562,1.38623,207.9345,234.155936,1631.344
"16","2018-10-22",55.162498,0.334998999999996,10.7199679999999,39.255001,-0.284999999999997,-28.4999999999997,109.629997,0.969993000000002,339.497550000001,47.939999,-0.35,-73.5,124.302101,-0.879538999999994,-131.930849999999,116.286668000002,1747.630668
"17","2018-10-23",55.682499,0.520001000000001,16.640032,40.450001,1.195,119.5,108.099998,-1.529999,-535.499650000001,47.990002,-0.05,-10.5,125.439774,-1.13767300000001,-170.650950000001,-580.510568000002,1167.1201
"18","2018-10-24",53.772499,-1.91,-61.1199999999999,39.825001,-0.625,-62.5,102.32,-5.77999800000001,-2022.9993,46.759998,1.23,258.3,121.615677,3.82409699999999,573.614549999999,-1314.70475,-147.584650000003
